Ticker,Description,Pre-market Close,Pre-market Change %,Pre-market Gap %,Pre-market Volume,Price,Change %,Volume,Post-market Close,Post-market Change %,Post-market Volume,Technical Rating,Market Capitalization
FLAG,"First Light Acquisition Group, Inc.",,,,,10.29,0.09727626,213222,10.29,0,200,Buy,101644865.23832700
FEAM,"5E Advanced Materials, Inc.",,,,,4.65,1.08695652,213134,4.65,0,19482,Neutral,205293653.64130400
NOTV,"Inotiv, Inc.",,,,,5.63,-0.53003534,212254,5.6,-0.53285968,31699,Buy,144165356.93992900
INZY,"Inozyme Pharma, Inc.",,,,,5.86,0.68728522,208404,5.86,0,5043,Buy,256199259.40549800
CONN,"Conn's, Inc.",,,,,4.34,-2.69058296,206608,4.34,0,33760,Sell,104760627.78026900
NDLS,Noodles & Company,,,,,4.7,-1.46750524,202754,4.7,0,11438,Strong Sell,216389993.312369
BRIV,B. Riley Principal 250 Merger Corp.,,,,,10.185,0.24606299,198019,,,,Buy,225725062.50000000
LINC,Lincoln Educational Services Corporation,5.56,-2.11267606,-2.11267606,600,5.79,1.93661972,190043,5.79,0,4986,Sell,182456788.86443700
XAIR,"Beyond Air, Inc.",,,,,5.83,-1.3536379,189420,5.83,0,6102,Sell,175432313.52622700
KNOP,KNOT Offshore Partners LP,4.42,0.45454545,0.45454545,100,4.36,-0.90909091,187742,4.29,-1.60550459,1302,Sell,151228173.5636360
TRNR,Interactive Strength Inc.,6.36,0.15748031,0.15748031,1620,6.8,7.08661417,187113,7.2,5.88235294,5462,Strong Buy,98055785.82677170
TZOO,Travelzoo,7.55,-3.08087291,-3.08087291,175,7.48,-3.97946085,186949,7.48,0,2523,Buy,117416645.139923
TLYS,"Tilly's, Inc.",,,,,7.53,0.13297872,185904,7.53,0,16763,Neutral,224973515.60904300
ASUR,Asure Software Inc,14.3,1.99714693,1.99714693,280,13.78,-1.71184023,183931,14.05,1.95936139,5206,Sell,279348213.0756060
STKS,"The ONE Group Hospitality, Inc.",,,,,7.47,0.40322581,180782,6.75,-9.63855422,80425,Sell,236377483.16129000
FISI,"Financial Institutions, Inc.",,,,,15.09,-2.70793037,179346,15.09,0,15052,Strong Sell,232015977.827853
VRA,"Vera Bradley, Inc.",5.42,0,0,100,5.32,-1.84501845,178253,5.32,0,18784,Sell,163270926.6199260
URGN,UroGen Pharma Ltd.,,,,,12.51,-2.265625,174779,12.51,0,3596,Buy,293240924.746875
EPM,"Evolution Petroleum Corporation, Inc.",6.3,0,0,200,6.23,-1.11111111,173720,6.1407,-1.43338684,2828,Sell,210058787.90000000
ACET,"Adicet Bio, Inc.",,,,,6.38,0.63091483,171931,6.38,0,20800,Buy,274052748.0473190
PANL,Pangaea Logistics Solutions Ltd.,,,,,5.78,-6.01626016,170554,5.78,0,3356,Sell,268630059.15122000
MEC,"Mayville Engineering Company, Inc.",,,,,9.59,-14.9822695,169641,9.59,0,3582,Strong Sell,193456635.94237600
RELL,"Richardson Electronics, Ltd.",15.58,-1.14213198,-1.14213198,100,15.52,-1.52284264,166814,15.52,0,7600,Sell,215249541.83756300
PMVP,"PMV Pharmaceuticals, Inc.",,,,,4.76,-1.24481328,166089,4.76,0,26512,Neutral,217881207.22821600
APEI,"American Public Education, Inc.",,,,,5.13,-6.55737705,163914,5.13,0,18829,Strong Sell,97627842.34426230
ZVRA,"Zevra Therapeutics, Inc.",,,,,4.88,-1.81086519,162666,4.88,0,11440,Sell,168557207.96780700
CSTE,Caesarstone Ltd.,,,,,4.68,-2.09205021,162112,4.68,0,36586,Neutral,161494195.33054400
FRBA,First Bank,,,,,8.64,-4.74090408,161354,8.64,0,17603,Strong Sell,169602264.55567800
