date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2022-04-20,3.19,3.265,3.14,3.16,3.16,313563,0.0000,1.0,OLMA
2022-04-19,2.99,3.53,2.92,3.2,3.2,963639,0.0000,1.0,OLMA
2022-04-18,3.07,3.155,2.89,2.93,2.93,304036,0.0000,1.0,OLMA
2022-04-14,3.3,3.3,3.06,3.08,3.08,297464,0.0000,1.0,OLMA
2022-04-13,3.22,3.375,3.15,3.26,3.26,317425,0.0000,1.0,OLMA
2022-04-12,3.4,3.4523,3.21,3.24,3.24,205915,0.0000,1.0,OLMA
2022-04-11,3.56,3.68,3.305,3.33,3.33,225061,0.0000,1.0,OLMA
2022-04-08,3.69,3.82,3.58,3.6,3.6,238209,0.0000,1.0,OLMA
2022-04-07,3.78,3.92,3.67,3.7,3.7,203331,0.0000,1.0,OLMA
2022-04-06,3.89,3.95,3.65,3.79,3.79,766735,0.0000,1.0,OLMA
2022-04-05,4.39,4.43,3.9,3.93,3.93,224467,0.0000,1.0,OLMA
2022-04-04,4.19,4.435,4.11,4.32,4.32,692625,0.0000,1.0,OLMA
2022-04-01,4.28,4.48,4.06,4.1,4.1,289713,0.0000,1.0,OLMA
2022-03-31,4.33,4.39,4.12,4.26,4.26,295496,0.0000,1.0,OLMA
2022-03-30,4.53,4.68,4.3,4.33,4.33,192838,0.0000,1.0,OLMA
2022-03-29,4.44,4.79,4.39,4.54,4.54,232332,0.0000,1.0,OLMA
2022-03-28,4.43,4.52,4.21,4.38,4.38,278824,0.0000,1.0,OLMA
2022-03-25,4.78,4.8,4.46,4.47,4.47,182239,0.0000,1.0,OLMA
2022-03-24,4.84,4.84,4.6,4.76,4.76,241431,0.0000,1.0,OLMA
2022-03-23,5.07,5.07,4.78,4.79,4.79,150465,0.0000,1.0,OLMA
2022-03-22,4.91,5.19,4.89,5.11,5.11,366370,0.0000,1.0,OLMA
2022-03-21,4.93,4.98,4.74,4.87,4.87,480245,0.0000,1.0,OLMA
2022-03-18,4.55,5.08,4.51,4.97,4.97,1092073,0.0000,1.0,OLMA
2022-03-17,4.18,4.57,3.98,4.55,4.55,554470,0.0000,1.0,OLMA
2022-03-16,4.03,4.15,3.86,4.13,4.13,711233,0.0000,1.0,OLMA
2022-03-15,3.99,4.08,3.72,3.89,3.89,625106,0.0000,1.0,OLMA
2022-03-14,4.38,4.39,3.93,3.98,3.98,483190,0.0000,1.0,OLMA
2022-03-11,4.79,4.86,4.4,4.41,4.41,206283,0.0000,1.0,OLMA
2022-03-10,4.75,4.83,4.54,4.69,4.69,220125,0.0000,1.0,OLMA
2022-03-09,4.51,4.98,4.414,4.9,4.9,331713,0.0000,1.0,OLMA
2022-03-08,4.38,4.58,4.04,4.38,4.38,217747,0.0000,1.0,OLMA
2022-03-07,4.49,4.56,4.15,4.38,4.38,395283,0.0000,1.0,OLMA
2022-03-04,4.83,4.93,4.36,4.5,4.5,454404,0.0000,1.0,OLMA
2022-03-03,5.42,5.42,4.805,4.87,4.87,353693,0.0000,1.0,OLMA
2022-03-02,5.57,5.61,5.21,5.43,5.43,499125,0.0000,1.0,OLMA
2022-03-01,4.65,5.44,4.605,5.38,5.38,584386,0.0000,1.0,OLMA
2022-02-28,4.4,4.78,4.38,4.68,4.68,438349,0.0000,1.0,OLMA
2022-02-25,4.54,4.6,4.315,4.6,4.6,352283,0.0000,1.0,OLMA
2022-02-24,3.92,4.49,3.9,4.45,4.45,496642,0.0000,1.0,OLMA
2022-02-23,4.34,4.77,4.14,4.15,4.15,254535,0.0000,1.0,OLMA
2022-02-22,4.45,4.7,4.28,4.31,4.31,412293,0.0000,1.0,OLMA
2022-02-18,4.77,4.79,4.44,4.5,4.5,507042,0.0000,1.0,OLMA
2022-02-17,4.85,4.8798,4.76,4.79,4.79,416907,0.0000,1.0,OLMA
2022-02-16,5.12,5.12,4.83,4.95,4.95,252221,0.0000,1.0,OLMA
2022-02-15,4.88,5.16,4.87,5.12,5.12,257920,0.0000,1.0,OLMA
2022-02-14,4.98,5.01,4.75,4.79,4.79,298024,0.0000,1.0,OLMA
2022-02-11,5.31,5.57,4.94,4.99,4.99,409171,0.0000,1.0,OLMA
2022-02-10,5.38,5.68,5.13,5.2,5.2,437873,0.0000,1.0,OLMA
2022-02-09,5.28,5.64,5.1906,5.59,5.59,534439,0.0000,1.0,OLMA
2022-02-08,5.88,5.88,5.23,5.26,5.26,384606,0.0000,1.0,OLMA
2022-02-07,5.85,6.06,5.69,5.71,5.71,416120,0.0000,1.0,OLMA
2022-02-04,5.87,6.17,5.6001,5.88,5.88,766663,0.0000,1.0,OLMA
2022-02-03,6.23,6.41,5.81,5.88,5.88,621733,0.0000,1.0,OLMA
2022-02-02,7.06,7.41,6.26,6.41,6.41,520405,0.0000,1.0,OLMA
2022-02-01,6.6,7.1,6.4,7.02,7.02,1149597,0.0000,1.0,OLMA
2022-01-31,5.95,6.46,5.9,6.43,6.43,432185,0.0000,1.0,OLMA
2022-01-28,5.77,5.88,5.4,5.88,5.88,422283,0.0000,1.0,OLMA
2022-01-27,5.84,6.06,5.59,5.74,5.74,385223,0.0000,1.0,OLMA
2022-01-26,6.16,6.2999,5.76,5.92,5.92,669057,0.0000,1.0,OLMA
2022-01-25,6.36,6.42,5.755,6.15,6.15,308495,0.0000,1.0,OLMA
2022-01-24,5.75,6.39,5.63,6.31,6.31,347462,0.0000,1.0,OLMA
2022-01-21,6.17,6.41,5.945,5.95,5.95,263261,0.0000,1.0,OLMA
2022-01-20,6.37,6.72,6.17,6.2,6.2,234377,0.0000,1.0,OLMA
2022-01-19,6.58,6.92,6.3,6.35,6.35,387002,0.0000,1.0,OLMA
2022-01-18,6.62,6.71,6.41,6.56,6.56,423231,0.0000,1.0,OLMA
2022-01-14,6.42,6.71,6.27,6.69,6.69,297604,0.0000,1.0,OLMA
2022-01-13,6.98,7.0,6.46,6.56,6.56,272182,0.0000,1.0,OLMA
2022-01-12,7.24,7.38,6.83,6.86,6.86,288235,0.0000,1.0,OLMA
2022-01-11,7.25,7.76,7.05,7.33,7.33,494093,0.0000,1.0,OLMA
2022-01-10,7.22,7.32,6.6,7.16,7.16,820348,0.0000,1.0,OLMA
2022-01-07,7.65,7.71,7.22,7.3,7.3,429589,0.0000,1.0,OLMA
2022-01-06,8.16,8.2864,7.29,7.61,7.61,917552,0.0000,1.0,OLMA
2022-01-05,9.1,9.125,7.995,8.11,8.11,761579,0.0000,1.0,OLMA
2022-01-04,9.42,9.45,8.55,8.88,8.88,391990,0.0000,1.0,OLMA
2022-01-03,9.675,9.675,9.1,9.43,9.43,237433,0.0000,1.0,OLMA
2021-12-31,9.36,9.65,9.275,9.36,9.36,347380,0.0000,1.0,OLMA
2021-12-30,9.13,9.97,9.13,9.4,9.4,352761,0.0000,1.0,OLMA
2021-12-29,9.49,9.64,9.09,9.29,9.29,257174,0.0000,1.0,OLMA
2021-12-28,9.54,10.11,9.4803,9.55,9.55,252159,0.0000,1.0,OLMA
2021-12-27,9.84,10.06,9.54,9.63,9.63,242735,0.0000,1.0,OLMA
2021-12-23,9.43,10.27,9.43,9.91,9.91,320585,0.0000,1.0,OLMA
2021-12-22,9.68,9.8,9.32,9.54,9.54,317363,0.0000,1.0,OLMA
2021-12-21,9.66,10.1496,9.49,9.78,9.78,511806,0.0000,1.0,OLMA
2021-12-20,9.4,9.84,9.14,9.61,9.61,1265569,0.0000,1.0,OLMA
2021-12-17,9.13,9.92,8.7734,9.62,9.62,888090,0.0000,1.0,OLMA
2021-12-16,9.31,9.6899,8.79,9.14,9.14,850846,0.0000,1.0,OLMA
2021-12-15,8.93,9.325,8.505,9.19,9.19,875544,0.0000,1.0,OLMA
2021-12-14,10.1,10.25,8.865,9.05,9.05,857813,0.0000,1.0,OLMA
2021-12-13,10.11,10.76,9.9052,10.31,10.31,494854,0.0000,1.0,OLMA
2021-12-10,11.02,11.28,10.14,10.22,10.22,881409,0.0000,1.0,OLMA
2021-12-09,11.48,11.99,11.205,11.23,11.23,576317,0.0000,1.0,OLMA
2021-12-08,11.2,11.71,10.62,11.62,11.62,1083326,0.0000,1.0,OLMA
2021-12-07,10.76,11.86,10.5,11.07,11.07,1371938,0.0000,1.0,OLMA
2021-12-06,11.03,11.07,9.8,10.5,10.5,1017762,0.0000,1.0,OLMA
2021-12-03,9.8114,10.69,9.41,10.47,10.47,2117433,0.0000,1.0,OLMA
2021-12-02,9.47,10.06,8.77,9.4,9.4,1623518,0.0000,1.0,OLMA
2021-12-01,9.25,10.3637,8.25,9.48,9.48,5596564,0.0000,1.0,OLMA
2021-11-30,13.61,13.7,8.57,8.75,8.75,10638400,0.0000,1.0,OLMA
