1. open,2. high,3. low,4. close,5. adjusted close,6. volume,ticker
9.73,9.75,9.73,9.74,9.74,11993,CLBR
9.71,9.73,9.71,9.73,9.73,1801,CLBR
9.75,9.75,9.735,9.74,9.74,51749,CLBR
9.73,9.75,9.73,9.75,9.75,392,CLBR
9.79,9.79,9.73,9.73,9.73,1900,CLBR
9.74,9.74,9.74,9.74,9.74,1,CLBR
9.74,9.74,9.74,9.74,9.74,150,CLBR
9.76,9.76,9.76,9.76,9.76,145,CLBR
9.75,9.75,9.75,9.75,9.75,102,CLBR
9.75,9.75,9.75,9.75,9.75,125,CLBR
9.75,9.75,9.75,9.75,9.75,0,CLBR
9.75,9.75,9.75,9.75,9.75,815,CLBR
9.75,9.75,9.73,9.73,9.73,10200,CLBR
9.75,9.75,9.75,9.75,9.75,12,CLBR
9.75,9.75,9.75,9.75,9.75,6,CLBR
9.75,9.75,9.75,9.75,9.75,30,CLBR
9.75,9.75,9.75,9.75,9.75,3136,CLBR
9.7426,9.7426,9.7426,9.7426,9.7426,32,CLBR
9.74,9.7426,9.74,9.7426,9.7426,47880,CLBR
9.74,9.75,9.74,9.74,9.74,600,CLBR
9.756,9.756,9.756,9.756,9.756,0,CLBR
9.756,9.756,9.756,9.756,9.756,104,CLBR
9.756,9.756,9.756,9.756,9.756,302,CLBR
9.74,9.74,9.74,9.74,9.74,46,CLBR
9.74,9.74,9.74,9.74,9.74,200,CLBR
9.74,9.76,9.735,9.74,9.74,191446,CLBR
9.74,9.74,9.74,9.74,9.74,300,CLBR
9.74,9.74,9.74,9.74,9.74,212,CLBR
9.7527,9.7527,9.74,9.74,9.74,716,CLBR
9.81,9.81,9.76,9.76,9.76,234,CLBR
9.72,9.72,9.72,9.72,9.72,151,CLBR
9.72,9.72,9.72,9.72,9.72,0,CLBR
9.72,9.72,9.72,9.72,9.72,0,CLBR
9.72,9.72,9.72,9.72,9.72,0,CLBR
9.72,9.72,9.72,9.72,9.72,737,CLBR
9.72,9.72,9.72,9.72,9.72,0,CLBR
9.72,9.72,9.72,9.72,9.72,4026,CLBR
9.75,9.75,9.75,9.75,9.75,5,CLBR
9.74,9.75,9.74,9.75,9.75,850,CLBR
9.7,9.72,9.7,9.71,9.71,5065,CLBR
9.71,9.71,9.71,9.71,9.71,0,CLBR
9.7162,9.7162,9.71,9.71,9.71,1101,CLBR
9.71,9.71,9.7,9.7,9.7,2593,CLBR
9.63,9.7,9.63,9.7,9.7,3580,CLBR
9.75,9.75,9.75,9.75,9.75,0,CLBR
9.75,9.75,9.75,9.75,9.75,45,CLBR
9.75,9.75,9.75,9.75,9.75,2,CLBR
9.75,9.75,9.75,9.75,9.75,1,CLBR
9.75,9.75,9.75,9.75,9.75,434,CLBR
9.7,9.7,9.7,9.7,9.7,588,CLBR
9.69,9.69,9.69,9.69,9.69,17,CLBR
9.65,9.69,9.65,9.69,9.69,249,CLBR
9.7,9.7,9.7,9.7,9.7,492,CLBR
9.69,9.69,9.69,9.69,9.69,601,CLBR
9.64,9.69,9.64,9.69,9.69,6702,CLBR
9.75,9.75,9.67,9.67,9.67,2865,CLBR
9.69,9.71,9.68,9.71,9.71,4746,CLBR
9.67,9.72,9.67,9.72,9.72,202,CLBR
9.74,9.74,9.74,9.74,9.74,30,CLBR
9.74,9.74,9.74,9.74,9.74,12,CLBR
9.74,9.74,9.74,9.74,9.74,2,CLBR
9.74,9.74,9.74,9.74,9.74,209,CLBR
9.77,9.77,9.7,9.7,9.7,7715,CLBR
9.7,9.7,9.7,9.7,9.7,7035,CLBR
9.905,9.905,9.7,9.7,9.7,4733,CLBR
9.7,9.7,9.7,9.7,9.7,3169,CLBR
9.7,9.725,9.7,9.725,9.725,171183,CLBR
9.69,9.69,9.69,9.69,9.69,15497,CLBR
9.68,9.7,9.68,9.7,9.7,5622,CLBR
9.72,9.72,9.7,9.7,9.7,8413,CLBR
9.7,9.7,9.7,9.7,9.7,47,CLBR
9.7,9.7,9.7,9.7,9.7,57,CLBR
9.7,9.7,9.7,9.7,9.7,106,CLBR
9.7,9.7,9.7,9.7,9.7,0,CLBR
9.67,9.7,9.67,9.7,9.7,2275,CLBR
9.69,9.69,9.69,9.69,9.69,500,CLBR
9.685,9.685,9.685,9.685,9.685,500,CLBR
9.69,9.69,9.69,9.69,9.69,0,CLBR
9.69,9.69,9.69,9.69,9.69,41,CLBR
9.69,9.69,9.69,9.69,9.69,0,CLBR
9.69,9.69,9.69,9.69,9.69,80048,CLBR
9.73,9.73,9.72,9.72,9.72,92475,CLBR
9.74,9.74,9.74,9.74,9.74,0,CLBR
9.735,9.74,9.735,9.74,9.74,4034,CLBR
9.72,9.73,9.71,9.73,9.73,1246562,CLBR
9.73,9.73,9.73,9.73,9.73,46822,CLBR
9.73,9.74,9.73,9.73,9.73,60373,CLBR
9.73,9.73,9.73,9.73,9.73,100,CLBR
9.729,9.745,9.72,9.72,9.72,9449,CLBR
9.75,9.76,9.75,9.76,9.76,1631,CLBR
9.74,9.74,9.74,9.74,9.74,12,CLBR
9.74,9.74,9.74,9.74,9.74,982,CLBR
9.73,9.73,9.73,9.73,9.73,0,CLBR
9.73,9.73,9.73,9.73,9.73,155,CLBR
9.72,9.725,9.7,9.725,9.725,5000,CLBR
9.73,9.73,9.73,9.73,9.73,0,CLBR
9.73,9.73,9.72,9.73,9.73,13089,CLBR
9.73,9.73,9.73,9.73,9.73,116,CLBR
9.71,9.716,9.7,9.716,9.716,7353,CLBR
9.7,9.7,9.7,9.7,9.7,10205,CLBR
9.6804,9.7,9.6804,9.7,9.7,411,CLBR
9.7,9.7,9.68,9.7,9.7,1961,CLBR
9.72,9.72,9.72,9.72,9.72,1100,CLBR
9.67,9.7,9.67,9.7,9.7,136438,CLBR
9.67,9.7,9.67,9.7,9.7,11778,CLBR
9.68,9.7,9.68,9.7,9.7,1448,CLBR
9.67,9.67,9.67,9.67,9.67,0,CLBR
9.67,9.67,9.67,9.67,9.67,30329,CLBR
9.68,9.685,9.67,9.68,9.68,188645,CLBR
9.68,9.68,9.67,9.67,9.67,40672,CLBR
9.7,9.7,9.69,9.69,9.69,558,CLBR
9.67,9.67,9.67,9.67,9.67,111,CLBR
9.67,9.67,9.67,9.67,9.67,25,CLBR
9.67,9.67,9.67,9.67,9.67,2993,CLBR
9.67,9.67,9.67,9.67,9.67,8,CLBR
9.67,9.67,9.67,9.67,9.67,0,CLBR
9.67,9.67,9.67,9.67,9.67,0,CLBR
9.67,9.67,9.67,9.67,9.67,8,CLBR
9.67,9.67,9.67,9.67,9.67,465,CLBR
9.67,9.675,9.67,9.67,9.67,801,CLBR
9.68,9.68,9.68,9.68,9.68,46,CLBR
9.69,9.69,9.68,9.68,9.68,14771,CLBR
9.69,9.69,9.68,9.69,9.69,4120,CLBR
9.69,9.69,9.69,9.69,9.69,5962,CLBR
9.69,9.69,9.69,9.69,9.69,1397,CLBR
9.65,9.69,9.65,9.69,9.69,6818,CLBR
9.68,9.68,9.68,9.68,9.68,1275,CLBR
9.67,9.68,9.67,9.68,9.68,4222,CLBR
9.6301,9.68,9.6301,9.68,9.68,8513,CLBR
9.66,9.695,9.63,9.69,9.69,806776,CLBR
9.63,9.64,9.63,9.64,9.64,10910,CLBR
9.64,9.64,9.64,9.64,9.64,0,CLBR
9.6,9.65,9.6,9.64,9.64,14937,CLBR
9.63,9.64,9.63,9.64,9.64,50592,CLBR
9.63,9.63,9.63,9.63,9.63,25864,CLBR
9.63,9.64,9.63,9.63,9.63,17951,CLBR
9.63,9.63,9.63,9.63,9.63,1292,CLBR
9.625,9.64,9.625,9.63,9.63,8614,CLBR
9.6,9.64,9.6,9.61,9.61,6442,CLBR
9.59,9.62,9.59,9.62,9.62,613,CLBR
9.61,9.615,9.6,9.6,9.6,23612,CLBR
9.61,9.63,9.61,9.63,9.63,500900,CLBR
9.65,9.65,9.65,9.65,9.65,0,CLBR
9.65,9.65,9.65,9.65,9.65,17773,CLBR
9.64,9.64,9.63,9.63,9.63,8457,CLBR
9.64,9.64,9.64,9.64,9.64,0,CLBR
9.64,9.64,9.64,9.64,9.64,2,CLBR
9.64,9.64,9.64,9.64,9.64,100103,CLBR
9.61,9.63,9.61,9.63,9.63,11634,CLBR
9.6,9.6,9.6,9.6,9.6,13416,CLBR
9.6,9.6,9.6,9.6,9.6,246,CLBR
9.6,9.6,9.6,9.6,9.6,305,CLBR
9.61,9.61,9.6,9.6,9.6,8654,CLBR
9.6,9.63,9.59,9.63,9.63,120770,CLBR
9.62,9.62,9.6,9.6,9.6,6205,CLBR
9.63,9.63,9.6,9.6,9.6,31720,CLBR
9.63,9.63,9.63,9.63,9.63,674,CLBR
9.64,9.65,9.64,9.65,9.65,309,CLBR
9.64,9.64,9.64,9.64,9.64,695,CLBR
9.67,9.67,9.67,9.67,9.67,310,CLBR
9.66,9.67,9.66,9.67,9.67,354,CLBR
9.66,9.67,9.66,9.67,9.67,301,CLBR
9.67,9.67,9.67,9.67,9.67,13,CLBR
9.67,9.67,9.67,9.67,9.67,0,CLBR
9.65,9.67,9.6405,9.67,9.67,1772,CLBR
9.66,9.66,9.66,9.66,9.66,122,CLBR
9.65,9.66,9.65,9.66,9.66,13119,CLBR
9.65,9.66,9.63,9.65,9.65,5424,CLBR
9.65,9.65,9.645,9.65,9.65,24573,CLBR
9.63,9.65,9.63,9.64,9.64,4822,CLBR
9.61,9.63,9.61,9.62,9.62,2765,CLBR
9.64,9.64,9.62,9.62,9.62,648,CLBR
9.62,9.64,9.61,9.62,9.62,1669,CLBR
9.62,9.62,9.62,9.62,9.62,100,CLBR
9.635,9.64,9.63,9.63,9.63,2886,CLBR
9.64,9.65,9.61,9.63,9.63,105454,CLBR
9.64,9.66,9.62,9.66,9.66,211838,CLBR
9.65,9.65,9.63,9.6376,9.6376,881,CLBR
9.63,9.65,9.62,9.65,9.65,5977,CLBR
9.65,9.65,9.63,9.64,9.64,17633,CLBR
9.65,9.67,9.65,9.67,9.67,9294,CLBR
9.64,9.65,9.64,9.65,9.65,5460,CLBR
9.67,9.67,9.65,9.65,9.65,1463,CLBR
9.645,9.68,9.645,9.67,9.67,9818,CLBR
9.67,9.67,9.67,9.67,9.67,2080,CLBR
9.67,9.67,9.66,9.67,9.67,3672,CLBR
9.67,9.67,9.67,9.67,9.67,2875,CLBR
